Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
spirit-classic-thermal-8-1-2-x-11,SPIRIT CLASSIC THERMAL 8 1/2” x 11”,"Reprofx Spirit Classic Thermal Roll is made with the same high quality dyes and stencil transfer paper as the classic Spirit Thermal sheets, but now is available in a continuous 100 foot roll. The Spirit Classic Thermal Roll allows artists to custom cut the size of stencil needed, as long or as short, saving artists time and money.

Always use an Extra-Long Reprofx® Carrier with the Spirit® Classic Thermal Roll in Thermal Machines.

100 continuous feet of Spirit® Thermal Paper!
Compatible with all thermal printers
Consistant, high quality images
Skin safe & shelf-stable",Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,KPAD092115,,,,deny,manual,34.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
spirit-classic-thermal-8-1-2-x-14,SPIRIT CLASSIC THERMAL 8 1/2” x 14”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,39.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
medicine-cups-1oz-100-sleeve,MEDICINE CUPS 1oz 100 SLEEVE,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,1.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
translucent-cups-3-5oz-2500-case,TRANSLUCENT CUPS 3.5oz 2500/case,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,46,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
translucent-cups-5oz-2500-case,TRANSLUCENT CUPS 5oz 2500/case,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,52,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
translucent-cups-5oz-1000-case,TRANSLUCENT CUPS 5oz 1000/case,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,26,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
op-marks-ultra-fine-tip-non-sterile-50-box,OP-MARKS ULTRA FINE TIP Non-Sterile 50/box,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,25.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
disposable-razors-twin-blade-100-bag,DISPOSABLE RAZORS Twin blade 100/bag,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,10,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
face-masks-ear-loop-type,FACE MASKS Ear loop type,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,4.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
spray-bottle-bags-6-x-10-500-box,SPRAY BOTTLE BAGS 6” x 10” 500/box,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,10,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
